Available Service Bays,Service_Department,Workshop_Code,Technician_Name,Technicians_Available,ClientID,Client_Age,Gender,Service_Type,Vehicle_Condition,Main_Issue,Previous_Visits,Warranty,Repair_Cost,Stay (in Days)
5,Pintura,B,José,2,10112,66+,Male,Reparación,Menor,,7,No,9090.18,5
8,Diagnóstico,C,Ana,7,10113,18-25,Female,Diagnóstico,Severa,,4,No,7158.32,17
2,Diagnóstico,D,María,0,10114,18-25,Female,Colisión,Moderada,Frenos,10,Yes,7437.85,9
7,Electricidad,E,José,12,10115,66+,Male,Diagnóstico,Severa,Suspensión,10,Yes,3960.09,19
3,Mecánica,D,Carlos,12,10116,36-45,Male,Reparación,Moderada,Frenos,3,No,11893.18,11
3,Diagnóstico,C,Luis,6,10117,46-55,Female,Mantenimiento,Severa,,10,No,931.06,13
7,Diagnóstico,C,Sofía,10,10118,56-65,Male,Colisión,Menor,Frenos,9,Yes,11013.45,2
7,Pintura,E,Sofía,1,10119,36-45,Female,Colisión,Moderada,Motor,10,Yes,7805.39,7
6,Mecánica,C,Luis,2,10120,26-35,Female,Diagnóstico,Moderada,Motor,3,Yes,1986.1,5
2,Mecánica,C,José,2,10121,56-65,Female,Reparación,Moderada,Motor,2,Yes,8696.02,5
7,Diagnóstico,B,María,9,10122,36-45,Female,Reparación,Menor,Suspensión,3,No,11592.32,5
4,Diagnóstico,E,María,7,10123,36-45,Female,Diagnóstico,Moderada,Motor,3,Yes,10495.07,6
8,Diagnóstico,E,Carlos,11,10124,56-65,Male,Colisión,Menor,Frenos,2,No,5474.43,3
3,Electricidad,A,Ana,7,10125,36-45,Male,Diagnóstico,Severa,Frenos,6,No,2943.97,11
6,Pintura,A,Luis,1,10126,66+,Female,Reparación,Menor,Motor,0,No,11021.14,1
3,Electricidad,D,José,0,10127,18-25,Male,Colisión,Moderada,Motor,2,No,1467.56,4
4,Diagnóstico,A,Carlos,3,10128,46-55,Female,Mantenimiento,Moderada,Frenos,7,Yes,7638.67,8
4,Pintura,C,María,0,10129,56-65,Female,Reparación,Severa,Suspensión,6,Yes,8022.8,20
6,Mecánica,E,José,8,10130,56-65,Male,Diagnóstico,Menor,Eléctrico,0,No,11775.32,5
1,Diagnóstico,A,Luis,3,10131,66+,Male,Colisión,Moderada,Motor,0,No,6620.26,6
3,Electricidad,D,Sofía,2,10132,26-35,Male,Diagnóstico,Severa,Frenos,4,Yes,669.1,13
1,Diagnóstico,C,José,6,10133,56-65,Female,Colisión,Menor,Frenos,10,Yes,3540.41,6
6,Diagnóstico,A,Luis,6,10134,46-55,Female,Diagnóstico,Menor,Transmisión,2,No,8351.01,3
5,Mecánica,D,Carlos,6,10135,56-65,Male,Colisión,Moderada,Transmisión,1,Yes,4035.85,7
5,Electricidad,E,Sofía,6,10136,26-35,Female,Colisión,Moderada,Eléctrico,0,No,7435.99,6
5,Mecánica,A,Sofía,10,10137,46-55,Female,Reparación,Moderada,Frenos,2,No,562.37,6
4,Diagnóstico,C,María,9,10138,18-25,Male,Diagnóstico,Menor,Transmisión,5,No,9192.55,4
3,Diagnóstico,D,Luis,10,10139,36-45,Male,Mantenimiento,Severa,Frenos,2,No,6285.28,15
2,Diagnóstico,C,Sofía,7,10140,26-35,Female,Diagnóstico,Severa,Motor,1,Yes,10255.99,21
3,Electricidad,A,Sofía,5,10141,66+,Female,Mantenimiento,Moderada,Suspensión,8,No,10712.28,10
3,Diagnóstico,E,Ana,1,10142,26-35,Male,Reparación,Menor,Eléctrico,0,No,6715.15,1
8,Pintura,E,Carlos,1,10143,36-45,Female,Diagnóstico,Moderada,Suspensión,6,No,9906.57,3
3,Diagnóstico,A,María,7,10144,66+,Female,Reparación,Menor,Suspensión,10,Yes,9248.21,5
7,Mecánica,A,José,2,10145,36-45,Male,Reparación,Menor,Transmisión,3,No,11377.68,5
5,Mecánica,C,Ana,10,10146,56-65,Female,Reparación,Severa,,4,Yes,6105.49,10
3,Pintura,E,Sofía,9,10147,36-45,Male,Mantenimiento,Menor,Frenos,0,No,7865.89,5
7,Mecánica,D,Sofía,8,10148,36-45,Female,Diagnóstico,Severa,Motor,10,No,3674.59,13
1,Pintura,D,María,7,10149,46-55,Male,Colisión,Menor,Suspensión,2,No,10358.6,2
6,Electricidad,B,Luis,8,10150,56-65,Male,Colisión,Moderada,Motor,7,Yes,3319.54,8
3,Mecánica,A,Luis,6,10151,56-65,Female,Reparación,Menor,Motor,5,No,2399.53,4
8,Electricidad,D,Luis,7,10152,18-25,Male,Diagnóstico,Menor,Suspensión,7,Yes,2699.46,6
1,Mecánica,C,María,9,10153,66+,Female,Colisión,Moderada,Suspensión,0,Yes,5256.49,6
6,Electricidad,C,Carlos,6,10154,18-25,Male,Colisión,Moderada,Suspensión,4,Yes,4728.23,6
5,Mecánica,B,Carlos,6,10155,36-45,Female,Colisión,Moderada,Motor,3,No,6075.92,5
1,Pintura,C,María,8,10156,46-55,Male,Reparación,Menor,Transmisión,9,No,2075.65,5
5,Diagnóstico,E,José,8,10157,46-55,Female,Diagnóstico,Severa,Frenos,5,No,8134.61,20
5,Mecánica,E,María,4,10158,66+,Male,Mantenimiento,Moderada,Suspensión,7,Yes,6362.15,10
7,Pintura,B,Carlos,9,10159,66+,Male,Reparación,Severa,Frenos,7,No,5112.55,13
4,Electricidad,E,José,7,10160,66+,Male,Reparación,Moderada,Suspensión,3,No,11977.76,5
7,Diagnóstico,B,María,8,10161,36-45,Female,Colisión,Moderada,Suspensión,7,Yes,11494.45,6
5,Pintura,C,Luis,11,10162,26-35,Female,Colisión,Moderada,Eléctrico,5,No,3560.3,7
7,Electricidad,C,Ana,4,10163,18-25,Female,Mantenimiento,Severa,Transmisión,7,No,9005.96,19
4,Diagnóstico,E,Sofía,4,10164,26-35,Male,Reparación,Menor,Motor,0,Yes,7709.64,5
2,Electricidad,C,Sofía,7,10165,18-25,Male,Mantenimiento,Menor,Suspensión,2,No,7886.78,2
8,Pintura,C,Luis,4,10166,66+,Male,Mantenimiento,Moderada,,9,Yes,6491.55,3
1,Pintura,D,Ana,0,10167,46-55,Female,Reparación,Severa,,4,Yes,259.82,18
2,Diagnóstico,C,María,10,10168,56-65,Female,Reparación,Severa,Suspensión,7,No,2434.82,18
6,Pintura,D,Sofía,4,10169,66+,Male,Mantenimiento,Menor,,5,No,6878.21,6
3,Electricidad,D,José,5,10170,18-25,Female,Mantenimiento,Menor,Motor,2,No,3984.68,3
1,Diagnóstico,D,Ana,7,10171,36-45,Female,Colisión,Menor,Suspensión,9,Yes,3249.4,2
4,Mecánica,A,María,4,10172,26-35,Female,Colisión,Moderada,,1,No,4505.4,9
4,Pintura,D,Ana,7,10173,66+,Female,Diagnóstico,Menor,,8,No,9124.6,6
4,Pintura,E,Carlos,8,10174,46-55,Female,Mantenimiento,Severa,Suspensión,1,Yes,9970.97,18
4,Pintura,B,Luis,8,10175,46-55,Male,Reparación,Severa,,9,No,1227.66,23
8,Mecánica,D,Ana,8,10176,46-55,Female,Mantenimiento,Severa,Suspensión,7,No,8720.87,22
5,Mecánica,B,José,1,10177,18-25,Female,Colisión,Moderada,,1,Yes,11224.81,8
8,Mecánica,C,María,2,10178,26-35,Female,Colisión,Menor,Eléctrico,7,No,4601.4,3
3,Diagnóstico,A,Ana,8,10179,46-55,Male,Reparación,Severa,Frenos,0,No,5636.6,20
7,Electricidad,B,Ana,7,10180,36-45,Male,Colisión,Severa,Motor,1,Yes,9742.32,15
1,Pintura,B,Carlos,1,10181,56-65,Male,Diagnóstico,Moderada,Suspensión,10,Yes,3050.1,4
7,Electricidad,B,José,3,10182,18-25,Male,Colisión,Menor,Motor,9,No,6993.08,4
6,Pintura,C,Ana,10,10183,56-65,Male,Diagnóstico,Severa,Transmisión,4,Yes,6747.11,11
3,Electricidad,E,María,0,10184,36-45,Female,Colisión,Severa,,6,No,1918.23,12
3,Electricidad,B,Ana,4,10185,66+,Male,Diagnóstico,Moderada,Frenos,8,No,11618.27,7
3,Electricidad,B,Luis,3,10186,36-45,Male,Diagnóstico,Severa,Transmisión,1,Yes,760.71,19
1,Mecánica,B,José,11,10187,66+,Male,Diagnóstico,Moderada,Motor,5,No,11490.68,3
4,Pintura,A,Sofía,12,10188,46-55,Male,Reparación,Menor,Eléctrico,3,No,9339.84,2
8,Diagnóstico,C,Luis,5,10189,56-65,Female,Diagnóstico,Moderada,Frenos,7,No,10984.82,6
6,Electricidad,A,José,3,10190,66+,Male,Mantenimiento,Moderada,Transmisión,8,No,3648.03,6
6,Pintura,D,José,3,10191,46-55,Female,Colisión,Menor,Eléctrico,10,No,5610.82,2
6,Pintura,B,Sofía,8,10192,46-55,Male,Mantenimiento,Severa,Suspensión,0,Yes,11350.48,23
1,Mecánica,D,Ana,10,10193,26-35,Male,Reparación,Severa,Frenos,3,No,4572.43,18
8,Electricidad,A,Carlos,8,10194,56-65,Female,Mantenimiento,Severa,Frenos,8,No,6498.5,10
1,Electricidad,B,Carlos,1,10195,56-65,Male,Reparación,Moderada,Motor,9,No,9810.29,7
7,Mecánica,C,María,7,10196,56-65,Male,Reparación,Moderada,Transmisión,10,Yes,7896.77,5
1,Mecánica,D,María,6,10197,56-65,Female,Mantenimiento,Severa,,0,Yes,1129.83,12
6,Mecánica,E,Carlos,3,10198,26-35,Female,Colisión,Moderada,Frenos,1,No,10806.84,7
1,Pintura,C,Carlos,3,10199,56-65,Male,Diagnóstico,Severa,Frenos,4,Yes,6832.9,10
7,Diagnóstico,D,Sofía,2,10200,66+,Male,Colisión,Severa,Frenos,1,No,2900.91,18
6,Electricidad,C,Carlos,10,10201,36-45,Female,Diagnóstico,Menor,Motor,5,No,5267.4,4
7,Mecánica,E,Luis,12,10202,26-35,Male,Mantenimiento,Severa,Transmisión,2,No,8583.37,19
3,Electricidad,C,Luis,1,10203,18-25,Male,Colisión,Severa,Eléctrico,5,No,1361.44,19
3,Electricidad,D,José,8,10204,56-65,Female,Mantenimiento,Menor,Frenos,1,No,6717.5,1
6,Electricidad,A,Luis,6,10205,46-55,Male,Reparación,Severa,Suspensión,8,Yes,8270.99,18
3,Diagnóstico,C,Luis,7,10206,26-35,Male,Reparación,Menor,Eléctrico,4,No,3702.06,5
6,Diagnóstico,B,Sofía,10,10207,46-55,Male,Diagnóstico,Menor,Frenos,2,No,230.19,2
6,Electricidad,C,María,5,10208,46-55,Male,Colisión,Moderada,Transmisión,9,Yes,5826.27,13
7,Diagnóstico,C,Sofía,11,10209,66+,Female,Reparación,Menor,Transmisión,6,No,9825.46,8
6,Mecánica,E,Ana,9,10210,56-65,Male,Mantenimiento,Moderada,,7,Yes,5345.69,8
2,Electricidad,D,Ana,10,10211,36-45,Male,Colisión,Moderada,,2,No,9500.56,8
8,Electricidad,E,María,8,10212,56-65,Female,Mantenimiento,Menor,Transmisión,8,Yes,1446.03,4
6,Pintura,E,Carlos,9,10213,66+,Female,Colisión,Menor,Eléctrico,1,Yes,1318.49,4
4,Electricidad,C,María,7,10214,66+,Male,Colisión,Menor,Frenos,7,Yes,3650.87,2
2,Pintura,C,Luis,5,10215,46-55,Male,Diagnóstico,Menor,Transmisión,7,Yes,5342.27,6
8,Diagnóstico,A,Luis,0,10216,66+,Male,Mantenimiento,Severa,Transmisión,10,Yes,8174.1,9
4,Pintura,E,Ana,5,10217,56-65,Female,Diagnóstico,Menor,Motor,6,Yes,2358.69,3
7,Electricidad,A,Sofía,9,10218,26-35,Female,Diagnóstico,Severa,Eléctrico,0,Yes,2588.55,19
2,Mecánica,E,Ana,5,10219,36-45,Male,Diagnóstico,Severa,Frenos,4,No,6403.42,12
6,Electricidad,E,María,9,10220,18-25,Female,Colisión,Severa,Eléctrico,9,Yes,9792.8,23
5,Mecánica,B,Luis,1,10221,26-35,Female,Mantenimiento,Severa,Motor,5,Yes,6203.27,20
3,Electricidad,D,Ana,7,10222,66+,Male,Reparación,Moderada,Eléctrico,4,Yes,2367.12,11
1,Diagnóstico,A,María,2,10223,26-35,Female,Diagnóstico,Moderada,Eléctrico,10,No,5075.22,6
8,Pintura,A,José,0,10224,26-35,Female,Mantenimiento,Moderada,Transmisión,3,No,2143.28,5
8,Mecánica,E,Carlos,4,10225,56-65,Female,Mantenimiento,Moderada,,7,Yes,11878.84,9
4,Diagnóstico,A,María,4,10226,36-45,Male,Diagnóstico,Menor,Frenos,3,Yes,9756.83,4
6,Electricidad,B,José,2,10227,26-35,Male,Mantenimiento,Severa,Suspensión,5,No,7222.76,21
6,Diagnóstico,C,José,4,10228,56-65,Male,Reparación,Menor,Eléctrico,0,No,10424.51,3
3,Pintura,B,Sofía,5,10229,26-35,Female,Diagnóstico,Menor,Motor,9,No,7589.58,7
8,Mecánica,A,María,8,10230,66+,Female,Colisión,Moderada,Eléctrico,7,No,7046.17,8
2,Electricidad,C,Carlos,12,10231,56-65,Female,Reparación,Severa,Eléctrico,3,No,3332.16,15
6,Pintura,E,María,12,10232,36-45,Male,Mantenimiento,Moderada,Frenos,10,No,342.93,9
8,Electricidad,A,María,3,10233,66+,Male,Colisión,Menor,Motor,4,Yes,7906.87,2
2,Diagnóstico,B,Carlos,6,10234,66+,Female,Reparación,Moderada,Eléctrico,10,Yes,8488.82,8
4,Electricidad,A,Ana,9,10235,26-35,Female,Mantenimiento,Menor,Frenos,5,Yes,11859.64,3
3,Electricidad,A,Ana,6,10236,18-25,Male,Mantenimiento,Moderada,Transmisión,5,No,1774.98,6
3,Mecánica,E,José,0,10237,56-65,Male,Diagnóstico,Menor,Transmisión,3,Yes,11050.75,5
8,Pintura,A,Carlos,2,10238,18-25,Female,Colisión,Severa,Eléctrico,5,Yes,3086.27,11
2,Pintura,E,José,9,10239,66+,Female,Mantenimiento,Severa,,4,Yes,6285.33,11
4,Electricidad,C,Sofía,0,10240,26-35,Female,Diagnóstico,Severa,Frenos,3,No,7711.28,15
1,Diagnóstico,C,Ana,6,10241,56-65,Female,Colisión,Menor,Suspensión,10,Yes,9188.3,2
1,Mecánica,A,Luis,3,10242,18-25,Male,Diagnóstico,Menor,Suspensión,4,No,5169.37,3
2,Pintura,C,Carlos,4,10243,18-25,Male,Reparación,Moderada,Suspensión,5,No,7099.28,8
2,Diagnóstico,D,Sofía,3,10244,18-25,Male,Mantenimiento,Severa,Eléctrico,1,No,7405.72,16
5,Pintura,A,Carlos,11,10245,26-35,Male,Reparación,Menor,Eléctrico,5,No,2128.51,6
5,Mecánica,A,Luis,12,10246,46-55,Female,Mantenimiento,Menor,Transmisión,9,Yes,6029.35,3
6,Mecánica,D,José,2,10247,36-45,Male,Colisión,Severa,Frenos,9,Yes,2856.59,19
1,Mecánica,A,Ana,0,10248,46-55,Female,Diagnóstico,Severa,Motor,2,Yes,6701.45,12
7,Pintura,C,Ana,6,10249,66+,Female,Colisión,Severa,Frenos,9,No,1564.9,17
1,Pintura,B,José,0,10250,46-55,Male,Diagnóstico,Severa,Transmisión,4,No,1173.67,14
1,Diagnóstico,B,Luis,9,10251,36-45,Male,Diagnóstico,Moderada,Transmisión,9,No,11973.78,6
4,Pintura,A,María,0,10252,26-35,Female,Mantenimiento,Menor,Transmisión,0,No,10210.72,5
5,Mecánica,B,José,3,10253,46-55,Female,Mantenimiento,Severa,Motor,4,Yes,670.22,14
7,Diagnóstico,D,Sofía,1,10254,56-65,Male,Reparación,Menor,,6,Yes,7163.96,5
7,Pintura,B,Luis,4,10255,36-45,Female,Colisión,Menor,Transmisión,7,No,2918.29,3
3,Mecánica,B,Carlos,2,10256,46-55,Female,Colisión,Menor,Eléctrico,1,No,11580.92,3
8,Diagnóstico,D,Luis,1,10257,18-25,Male,Colisión,Menor,,9,Yes,2698.0,4
